episode_uid,run_id,execution_order_in_run,task_suite_name,task_id,task_description,initial_state_index,trial_index,eval_seed,episode_seed,bddl_relative_path,bddl_sha256,init_state_file_relative_path,init_state_file_sha256,libero_pro_commit
libero_goal_object::task00::init000::eval_seed000,goal_object_t0to9,1,libero_goal_object,0,open the middle layer of the drawer,0,0,0,0,libero_pro/bddl_files/libero_goal_object/open_the_middle_drawer_of_the_cabinet.bddl,2ba1c3abe63f78095dd0ebce54808e29ec560fa069b2f0924a5c8ea93cf21e35,libero_pro/init_files/libero_goal_object/open_the_middle_drawer_of_the_cabinet.pruned_init,73f94bb57f8625939e3459f575a46fc84b7babe8cc638b4b281a8ef4d789c11d,UNAVAILABLE_NOT_A_GIT_CHECKOUT
libero_goal_object::task00::init001::eval_seed000,goal_object_t0to9,2,libero_goal_object,0,open the middle layer of the drawer,1,1,0,1,libero_pro/bddl_files/libero_goal_object/open_the_middle_drawer_of_the_cabinet.bddl,2ba1c3abe63f78095dd0ebce54808e29ec560fa069b2f0924a5c8ea93cf21e35,libero_pro/init_files/libero_goal_object/open_the_middle_drawer_of_the_cabinet.pruned_init,73f94bb57f8625939e3459f575a46fc84b7babe8cc638b4b281a8ef4d789c11d,UNAVAILABLE_NOT_A_GIT_CHECKOUT
libero_goal_object::task00::init002::eval_seed000,goal_object_t0to9,3,libero_goal_object,0,open the middle layer of the drawer,2,2,0,2,libero_pro/bddl_files/libero_goal_object/open_the_middle_drawer_of_the_cabinet.bddl,2ba1c3abe63f78095dd0ebce54808e29ec560fa069b2f0924a5c8ea93cf21e35,libero_pro/init_files/libero_goal_object/open_the_middle_drawer_of_the_cabinet.pruned_init,73f94bb57f8625939e3459f575a46fc84b7babe8cc638b4b281a8ef4d789c11d,UNAVAILABLE_NOT_A_GIT_CHECKOUT
libero_goal_object::task00::init003::eval_seed000,goal_object_t0to9,4,libero_goal_object,0,open the middle layer of the drawer,3,3,0,3,libero_pro/bddl_files/libero_goal_object/open_the_middle_drawer_of_the_cabinet.bddl,2ba1c3abe63f78095dd0ebce54808e29ec560fa069b2f0924a5c8ea93cf21e35,libero_pro/init_files/libero_goal_object/open_the_middle_drawer_of_the_cabinet.pruned_init,73f94bb57f8625939e3459f575a46fc84b7babe8cc638b4b281a8ef4d789c11d,UNAVAILABLE_NOT_A_GIT_CHECKOUT
libero_goal_object::task00::init004::eval_seed000,goal_object_t0to9,5,libero_goal_object,0,open the middle layer of the drawer,4,4,0,4,libero_pro/bddl_files/libero_goal_object/open_the_middle_drawer_of_the_cabinet.bddl,2ba1c3abe63f78095dd0ebce54808e29ec560fa069b2f0924a5c8ea93cf21e35,libero_pro/init_files/libero_goal_object/open_the_middle_drawer_of_the_cabinet.pruned_init,73f94bb57f8625939e3459f575a46fc84b7babe8cc638b4b281a8ef4d789c11d,UNAVAILABLE_NOT_A_GIT_CHECKOUT
libero_goal_object::task00::init005::eval_seed000,goal_object_t0to9,6,libero_goal_object,0,open the middle layer of the drawer,5,5,0,5,libero_pro/bddl_files/libero_goal_object/open_the_middle_drawer_of_the_cabinet.bddl,2ba1c3abe63f78095dd0ebce54808e29ec560fa069b2f0924a5c8ea93cf21e35,libero_pro/init_files/libero_goal_object/open_the_middle_drawer_of_the_cabinet.pruned_init,73f94bb57f8625939e3459f575a46fc84b7babe8cc638b4b281a8ef4d789c11d,UNAVAILABLE_NOT_A_GIT_CHECKOUT
libero_goal_object::task00::init006::eval_seed000,goal_object_t0to9,7,libero_goal_object,0,open the middle layer of the drawer,6,6,0,6,libero_pro/bddl_files/libero_goal_object/open_the_middle_drawer_of_the_cabinet.bddl,2ba1c3abe63f78095dd0ebce54808e29ec560fa069b2f0924a5c8ea93cf21e35,libero_pro/init_files/libero_goal_object/open_the_middle_drawer_of_the_cabinet.pruned_init,73f94bb57f8625939e3459f575a46fc84b7babe8cc638b4b281a8ef4d789c11d,UNAVAILABLE_NOT_A_GIT_CHECKOUT
libero_goal_object::task00::init007::eval_seed000,goal_object_t0to9,8,libero_goal_object,0,open the middle layer of the drawer,7,7,0,7,libero_pro/bddl_files/libero_goal_object/open_the_middle_drawer_of_the_cabinet.bddl,2ba1c3abe63f78095dd0ebce54808e29ec560fa069b2f0924a5c8ea93cf21e35,libero_pro/init_files/libero_goal_object/open_the_middle_drawer_of_the_cabinet.pruned_init,73f94bb57f8625939e3459f575a46fc84b7babe8cc638b4b281a8ef4d789c11d,UNAVAILABLE_NOT_A_GIT_CHECKOUT
libero_goal_object::task00::init008::eval_seed000,goal_object_t0to9,9,libero_goal_object,0,open the middle layer of the drawer,8,8,0,8,libero_pro/bddl_files/libero_goal_object/open_the_middle_drawer_of_the_cabinet.bddl,2ba1c3abe63f78095dd0ebce54808e29ec560fa069b2f0924a5c8ea93cf21e35,libero_pro/init_files/libero_goal_object/open_the_middle_drawer_of_the_cabinet.pruned_init,73f94bb57f8625939e3459f575a46fc84b7babe8cc638b4b281a8ef4d789c11d,UNAVAILABLE_NOT_A_GIT_CHECKOUT
libero_goal_object::task00::init009::eval_seed000,goal_object_t0to9,10,libero_goal_object,0,open the middle layer of the drawer,9,9,0,9,libero_pro/bddl_files/libero_goal_object/open_the_middle_drawer_of_the_cabinet.bddl,2ba1c3abe63f78095dd0ebce54808e29ec560fa069b2f0924a5c8ea93cf21e35,libero_pro/init_files/libero_goal_object/open_the_middle_drawer_of_the_cabinet.pruned_init,73f94bb57f8625939e3459f575a46fc84b7babe8cc638b4b281a8ef4d789c11d,UNAVAILABLE_NOT_A_GIT_CHECKOUT
libero_goal_object::task01::init000::eval_seed000,goal_object_t0to9,11,libero_goal_object,1,put the bowl on the stove,0,0,0,0,libero_pro/bddl_files/libero_goal_object/put_the_bowl_on_the_stove.bddl,c243a0de8e72c5e17a4b87528468504d828af1504d4e828d5f2ee437b5153b60,libero_pro/init_files/libero_goal_object/put_the_bowl_on_the_stove.pruned_init,907642a69eff5454ff1ccc9d20c4c6ff9c2963634545ae36c9598eea0bc25f5f,UNAVAILABLE_NOT_A_GIT_CHECKOUT
libero_goal_object::task01::init001::eval_seed000,goal_object_t0to9,12,libero_goal_object,1,put the bowl on the stove,1,1,0,1,libero_pro/bddl_files/libero_goal_object/put_the_bowl_on_the_stove.bddl,c243a0de8e72c5e17a4b87528468504d828af1504d4e828d5f2ee437b5153b60,libero_pro/init_files/libero_goal_object/put_the_bowl_on_the_stove.pruned_init,907642a69eff5454ff1ccc9d20c4c6ff9c2963634545ae36c9598eea0bc25f5f,UNAVAILABLE_NOT_A_GIT_CHECKOUT
libero_goal_object::task01::init002::eval_seed000,goal_object_t0to9,13,libero_goal_object,1,put the bowl on the stove,2,2,0,2,libero_pro/bddl_files/libero_goal_object/put_the_bowl_on_the_stove.bddl,c243a0de8e72c5e17a4b87528468504d828af1504d4e828d5f2ee437b5153b60,libero_pro/init_files/libero_goal_object/put_the_bowl_on_the_stove.pruned_init,907642a69eff5454ff1ccc9d20c4c6ff9c2963634545ae36c9598eea0bc25f5f,UNAVAILABLE_NOT_A_GIT_CHECKOUT
libero_goal_object::task01::init003::eval_seed000,goal_object_t0to9,14,libero_goal_object,1,put the bowl on the stove,3,3,0,3,libero_pro/bddl_files/libero_goal_object/put_the_bowl_on_the_stove.bddl,c243a0de8e72c5e17a4b87528468504d828af1504d4e828d5f2ee437b5153b60,libero_pro/init_files/libero_goal_object/put_the_bowl_on_the_stove.pruned_init,907642a69eff5454ff1ccc9d20c4c6ff9c2963634545ae36c9598eea0bc25f5f,UNAVAILABLE_NOT_A_GIT_CHECKOUT
