title,year,family,verdict,why_useful,url
"Tactile-RL for Insertion: Generalization to Objects of Unknown Geometry",2021,"tactile-rl","top-missed","Direct RL on unseen geometry with correction policy and tactile flow","https://arxiv.org/abs/2104.01167"
"Touch begins where vision ends: Generalizable policies for contact-rich manipulation",2025,"hybrid-vision+tactile+residual-rl","top-missed","Global visual localization plus reusable local contact policy; highly aligned with current internship framing","https://arxiv.org/abs/2506.13762"
"OmniVTA: Visuo-Tactile World Modeling for Contact-Rich Robotic Manipulation",2026,"visuo-tactile-world-model","top-missed","Frontier world-model approach with unseen object and geometry generalization","https://arxiv.org/abs/2603.19201"
"Visuo-Tactile Transformers for Manipulation",2022,"model-based-rl-representation","useful-support","Important representation-learning branch for multimodal RL and planning","https://arxiv.org/abs/2210.00121"
"Touch2Insert: Zero-Shot Peg Insertion by Touching Intersections of Peg and Hole",2026,"tactile-localization+insertion","top-missed","Very direct unseen-geometry tactile insertion paper","https://arxiv.org/abs/2603.03627"
"Active Visuo-Haptic Object Shape Completion",2022,"active-touch-perception","top-missed","Uncertainty-driven touch improves downstream grasping on novel objects","https://arxiv.org/abs/2203.09149"
"FingerSLAM: Closed-loop Unknown Object Localization and Reconstruction from Visuo-tactile Feedback",2023,"visuo-tactile-localization","useful-support","Strong closed-loop unseen-object localization and reconstruction","https://arxiv.org/abs/2303.07997"
"Curiosity Driven Self-supervised Tactile Exploration of Unknown Objects",2022,"curiosity-touch-exploration","useful-support","Good touch-only exploration and cross-dataset generalization, but less task-oriented","https://arxiv.org/abs/2204.00035"
"Tactile Gym 2.0: Sim-to-Real Deep Reinforcement Learning for Comparing Low-Cost High-Resolution Robot Touch",2022,"benchmark+tactile-rl","useful-support","Good benchmark and sim-to-real infrastructure, not a main solution paper","https://arxiv.org/abs/2207.10763"
"Closing the Reality Gap: Zero-Shot Sim-to-Real Deployment for Dexterous Force-Based Grasping and Manipulation",2026,"dexterous-force-rl","later","Strong but more about dexterous multi-finger force control than the current benchmark","https://arxiv.org/abs/2601.02778"
