pdf_name,pages,abstract_or_excerpt
2018 - Sim2Real Visual Servoing.pdf,11,"Humans are remarkably proﬁcient at controlling their limbs and tools from a wide range of viewpoints and angles, even in the presence of optical distortions. In robotics, this ability is referred to as visual servoing: moving a tool or end-point to a desired location using primarily visual feedback. In this paper, we study how viewpoint-invariant visual servoing skills can be learned automatically in a robotic manipulation scenario. To this end, we train a deep recurrent controller that can automatically determine which actions move the end- point of a robotic arm to a desired object. The problem that must be solved by this controller is fundamentally ambiguous: under severe variation in viewpoint, it may be impossible to determine the actions in a single feedforward operation. Instead, our visual servoing system must use its memory of past movements to under- stand how the actions affect the robot motion from the current viewpoint, correcting mistakes and gradually moving closer to the target. This ability is in stark contrast to most visual servoing methods, which either assume known dynamics or require a calibration phase. We show how we can learn this recurrent controller using"
2020 - Pick and Place Without Object Model.pdf,8,"—Flexible pick-and-place is a fundamental yet chal- lenging task within robotics, in particular due to the need of an object model for a simple target pose deﬁnition. In this work, the robot instead learns to pick-and-place objects using planar manipulation according to a single, demonstrated goal state. Our primary contribution lies within combining robot learning of primitives, commonly estimated by fully-convolutional neural networks, with one-shot imitation learning. Therefore, we deﬁne the place reward as a contrastive loss between real-world mea- surements and a task-speciﬁc noise distribution. Furthermore, we design our system to learn in a self-supervised manner, enabling real-world experiments with up to 25 000 pick-and-place actions. Then, our robot is able to place trained objects with an average placement error of (2.7 ± 0.2) mm and (2.6 ± 0.8) ◦. As our approach does not require an object model, the robot is able to generalize to unknown objects while keeping a precision of (5.9 ± 1.1) mm and (4.1 ± 1.2) ◦. We further show a range of emerging behaviors: The robot naturally learns to select the correct object in the presence of multiple object types, precisely inserts o"
2020 - Targeted Grasping Active Vision RL.pdf,8,"— Developing personal robots that can perform a di- verse range of manipulation tasks in unstructured environments necessitates solving several challenges for robotic grasping systems. We take a step towards this broader goal by presenting the ﬁrst RL-based system, to our knowledge, for a mobile manipulator that can (a) achieve targeted grasping generalizing to unseen target objects, (b) learn complex grasping strategies for cluttered scenes with occluded objects, and (c) perform active vision through its movable wrist camera to better locate objects. The system is informed of the desired target object in the form of a single, arbitrary-pose RGB image of that object, enabling the system to generalize to unseen objects without retraining. To achieve such a system, we combine several advances in deep reinforcement learning and present a large-scale distributed training system using synchronous SGD that seamlessly scales to multi-node, multi-GPU infrastructure to make rapid prototyping easier. We train and evaluate our system in a simulated environment, identify key components for improving performance, analyze its behaviors, and transfer to a real-world setup. I. I NTRODUCTION In ord"
2021 - CLIPort.pdf,24,"How can we imbue robots with the ability to manipulate objects pre- cisely but also to reason about them in terms of abstract concepts? Recent works in manipulation have shown that end-to-end networks can learn dexterous skills that require precise spatial reasoning, but these methods often fail to generalize to new goals or quickly learn transferable concepts across tasks. In parallel, there has been great progress in learning generalizable semantic representations for vi- sion and language by training on large-scale internet data, however these repre- sentations lack the spatial understanding necessary for ﬁne-grained manipulation. To this end, we propose a framework that combines the best of both worlds: a two-stream architecture with semantic and spatial pathways for vision-based ma- nipulation. Speciﬁcally, we present CLIPORT, a language-conditioned imitation- learning agent that combines the broad semantic understanding (what) of CLIP [1] with the spatial precision ( where) of Transporter [2]. Our end-to-end framework is capable of solving a variety of language-speciﬁed tabletop tasks from packing unseen objects to folding cloths, all without any explicit representations of o"
2021 - Tactile-RL for Insertion.pdf,7,"— Object insertion is a classic contact-rich manip- ulation task. The task remains challenging, especially when considering general objects of unknown geometry, which signif- icantly limits the ability to understand the contact conﬁguration between the object and the environment. We study the problem of aligning the object and environment with a tactile-based feedback insertion policy. The insertion process is modeled as an episodic policy that iterates between insertion attempts followed by pose corrections. We explore different mechanisms to learn such a policy based on Reinforcement Learning. The key contribution of this paper is to demonstrate that it is possible to learn a tactile insertion policy that generalizes across different object geometries, and an ablation study of the key design choices for the learning agent: 1) the type of learning scheme: supervised vs. reinforcement learning; 2) the type of learning schedule: unguided vs. curriculum learning ; 3) the type of sensing modality: force/torque vs. tactile; and 4) the type of tactile representation: tactile RGB vs. tactile ﬂow. We show that the optimal conﬁguration of the learning agent (RL + curriculum + tactile ﬂow) "
2021 - kPAM 2.0.pdf,8,"kPAM 2.0: Feedback Control for Category-Level Robotic Manipulation Wei Gao, Russ Tedrake (a) (d)(c)(b) Fig. 1: We explore generalizable, perception-to-action robotic manipulation for contact-rich tasks that can automatically handle a category of objects, despite large intra-category shape variation. Here we demonstrate: (a) wiping a whiteboard using erasers with different shape and size; (b)-(d) Peg-hole insertion for (b) 0.2 [mm] tight tolerance pegs and holes, (c) LEGO blocks and (d) USB ports. The particular novelty of these demonstrations is that our method automatically handles objects under signiﬁcant intra-category shape variation (top row) without any instance-wise tuning, for each task (a)-(d). The video is on https://sites.google.com/view/kpam2/ . Abstract— In this paper we explore generalizable, perception- to-action robotic manipulation for precise, contact-rich tasks. In particular, we contribute a framework for closed-loop robotic manipulation that automatically handles a category of objects, despite potentially unseen object instances and signiﬁcant intra- category variations in shape, size and appearance. Previous approaches typically build a feedback loop on top of"
2022 - Active Visuo-Haptic Shape Completion.pdf,8,"—Recent advancements in object shape completion have enabled impressive object reconstructions using only visual input. However, due to self-occlusion, the reconstructions have high uncertainty in the occluded object parts, which negatively impacts the performance of downstream robotic tasks such as grasping. In this work, we propose an active visuo-haptic shape completion method called Act-VH that actively computes where to touch the objects based on the reconstruction uncertainty. Act- VH reconstructs objects from point clouds and calculates the reconstruction uncertainty using IGR, a recent state-of-the-art implicit surface deep neural network. We experimentally evaluate the reconstruction accuracy of Act-VH against ﬁve baselines in simulation and in the real world. We also propose a new simulation environment for this purpose. The results show that Act-VH outperforms all baselines and that an uncertainty-driven haptic exploration policy leads to higher reconstruction accuracy than a random policy and a policy driven by Gaussian Process Implicit Surfaces. As a ﬁnal experiment, we evaluate Act-VH and the best reconstruction baseline on grasping 10 novel objects. The results show "
2022 - Category-Level Self-Imitation.pdf,8,"— Generalizable object manipulation skills are crit- ical for intelligent and multi-functional robots to work in real-world complex scenes. Despite the recent progress in reinforcement learning, it is still very challenging to learn a generalizable manipulation policy that can handle a category of geometrically diverse articulated objects. In this work, we tackle this category-level object manipulation policy learning problem via imitation learning in a task-agnostic manner, where we assume no handcrafted dense rewards but only a terminal reward. Given this novel and challenging generalizable policy learning problem, we identify several key issues that can fail the previous imitation learning algorithms and hinder the gener- alization to unseen instances. We then propose several general but critical techniques, including generative adversarial self- imitation learning from demonstrations, progressive growing of discriminator, and instance-balancing for expert buffer, that accurately pinpoints and tackles these issues and can beneﬁt category-level manipulation policy learning regardless of the tasks. Our experiments on ManiSkill benchmarks demonstrate a remarkable improvement on all"
2022 - Contact Configuration Regulation.pdf,7,"— We present an approach to robotic manipulation of unknown objects through regulation of the object’s contact conﬁguration: the location, geometry, and mode of all contacts between the object, robot, and environment. A contact conﬁgu- ration constrains the forces and motions that can be applied to the object; however, synthesizing these constraints generally requires knowledge of the object’s pose and geometry. We develop an object-agnostic approach for estimation and control that circumvents this need. Our framework directly estimates a set of wrench and motion constraints which it uses to regulate the contact conﬁguration. We use this to reactively manipulate unknown planar objects in the gravity plane. A video describing our work can be found on our project page: http://mcube. mit.edu/research/contactConfig.html. I. I NTRODUCTION Regulation of an object’s contact conﬁguration – the location, mode and geometry of all contacts between the object, robot, and environment – is a fundamental abstrac- tion of object manipulation (Fig. 1). Imagine tumbling a heavy box or tightening a screw. Both tasks can be better described/executed by prescribing/regulating the location, geometry, an"
2022 - SimNet.pdf,11,"Robot manipulation of unknown objects in unstructured environments is a challenging problem due to the variety of shapes, materials, arrangements and lighting conditions. Even with large-scale real-world data collection, robust perception and manipulation of transparent and reﬂective objects across various lighting conditions remains challenging. To address these challenges we propose an approach to performing sim-to-real transfer of robotic perception. The underlying model, SimNet, is trained as a single multi-headed neural network using simulated stereo data as input and simulated object segmentation masks, 3D oriented bound- ing boxes (OBBs), object keypoints and disparity as output. A key component of SimNet is the incorporation of a learned stereo sub-network that predicts dis- parity. SimNet is evaluated on unknown object detection and deformable object keypoint detection and signiﬁcantly outperforms a baseline that uses a structured light RGB-D sensor. By inferring grasp positions using the OBB and keypoint predictions, SimNet can be used to perform end-to-end manipulation of unknown objects across our ﬂeet of Toyota HSR robots. In object grasping experiments, SimNet signiﬁc"
